No.,Nombre_montana,Altura,Score,Vistas,Ubicacion
1,"""Olympus Mons""",27000,99.37%,45416,"""MARS,Other"""
2,"""Everest""",8849,100%,253513,"""Tibet/Khumbu,China/Nepal,Asia"""
3,"""K2""",8611,99.85%,260544,"""China/Pakistan,Asia"""
4,"""Kangchenjunga""",8586,99.92%,141028,"""India/Nepal,Asia"""
5,"""Lhotse""",8516,95.41%,81377,"""Asia"""
6,"""Makalu""",8463,96.38%,110843,"""Asia"""
7,"""Cho Oyu""",8188,99.62%,155992,"""China/Nepal,Asia"""
8,"""Dhaulagiri""",8167,95.46%,70845,"""Pokhara,Nepal,Asia"""
9,"""Manaslu""",8156,94.89%,68787,"""GurkhaHimal,Nepal,Asia"""
10,"""Nanga Parbat""",8126,99.44%,181582,"""TheNorthernAreas,Pakistan,Asia"""
11,"""Annapurna I""",8091,94.77%,123212,"""Nepal,Asia"""
12,"""Gasherbrum I""",8068,98.46%,75468,"""Xinjiang/Baltistan,China/Pakistan,Asia"""
13,"""Broad Peak""",8047,99.62%,102962,"""Xinjiang/Baltistan,China,Pakistan,Asia"""
14,"""Gasherbrum II""",8032,97.41%,68356,"""Pakistan,Asia"""
15,"""Shisha Pangma""",8027,96.82%,88093,"""Tibet,China,Asia"""
16,"""Gasherbrum III""",7952,99.66%,30929,"""Xinjiang/Baltistan,China,Pakistan,Asia"""
17,"""Gasherbrum IV""",7925,99.81%,71522,"""Xinjiang/Baltistan,China,Pakistan,Asia"""
18,"""Nuptse""",7849,92.31%,45647,"""Khumbu,Nepal,Asia"""
19,"""Masherbrum""",7821,97.36%,42005,"""NorthernAreas,Pakistan,Asia"""
20,"""Nanda Devi""",7816,95.18%,74338,"""India,Asia"""
21,"""Batura I""",7795,93.58%,17268,"""NorthernAreas,Pakistan,Asia"""
22,"""Rakaposhi""",7788,95.64%,69189,"""NorthernAreas,Pakistan,Asia"""
23,"""Tirich Mir""",7708,88.45%,51190,"""Hindukush,ChitralPakistan,Pakistan,Asia"""
24,"""Chogolisa (7668-M), Karakoram, Pakistan""",7668,93.1%,13307,"""Pakistan,Asia"""
25,"""Minya Konka (Gongga Shan)""",7556,88.21%,46161,"""Sichuan,China,Asia"""
26,"""Muztagh Ata""",7509,99.79%,124861,"""Xinjiang,China,Asia"""
27,"""Pik Kommunizma""",7495,97.19%,86049,"""Gorno-BadakhshanA.O.,Tajikistan,Asia"""
28,"""Noshaq peak""",7492,87.36%,47266,"""HindukushChitral,,Afghanistan/Pakistan,Asia"""
29,"""Pik Pobeda/Tomur Feng""",7439,91.39%,76683,"""China,Kyrgyzstan,Asia"""
30,"""Kunyang Chhish East""",7431,89.39%,18421,"""GilgitBaltistan,Pakistan,Asia"""
31,"""Istor o Nal""",7403,81%,10135,"""NWFP,Pakistan,Asia"""
32,"""Ultar II""",7388,85.87%,25153,"""NorthernAreas,Pakistan,Asia"""
33,"""Skil Brum""",7360,89.01%,28721,"""Gilgit-Baltistan,NorthernAreas,Pakistan,Asia"""
34,"""Nangpai Gosum I""",7351,80.47%,13593,"""Khumbu,Nepal,Asia"""
35,"""Saraghrar""",7349,77.46%,8675,"""NWFP,Pakistan,Asia"""
36,"""Chamlang""",7319,76.66%,6610,"""Nepal,"""
37,"""Mount Crown, (Huangguan)""",7265,86.78%,15288,"""Karakoram,Xinjiang,China,Asia"""
38,"""Diran""",7257,91.22%,16323,"""NorthernAreas,Pakistan,Asia"""
39,"""Noijin Kangsang 7206m""",7206,94.24%,24581,"""Tibet(Xizang),China,Asia"""
40,"""Nyainqentanglha Feng""",7162,86.85%,17517,"""Xizang(Tibet),China,Asia"""
41,"""Pumori""",7161,95.81%,49241,"""China,Nepal,Asia"""
42,"""Latok Peak""",7145,77.84%,25684,"""GilgitBaltistan,Pakistan,Asia"""
43,"""Pik Lenin""",7134,99.58%,156860,"""Gorno-BadakhshanA.O.,Kyrgyzstan,Tajikistan,Asia"""
44,"""Gaurishankar""",7134,69.75%,9260,"""Nepal,Asia"""
45,"""Tilicho Peak""",7134,88.6%,18619,"""AnnapurnaConservationArea,Nepal,Asia"""
46,"""Baruntse""",7129,93.97%,41940,"""EasternRegion,Nepal,Asia"""
47,"""Pik Korzhenevskaya""",7105,83.09%,35307,"""Pamir,Tajikistan,Asia"""
48,"""Loinbo Kangri""",7095,90.48%,14835,"""Xizang(Tibet),China,Asia"""
49,"""Kun""",7077,73.06%,8292,"""JammuandKashmir,India,Asia"""
50,"""Qungmoganze""",7048,90.48%,22638,"""Xizang(Tibet),China,Asia"""
51,"""Koskulak""",7028,97.27%,15203,"""Xinjiang,China,Asia"""
52,"""Spantik""",7027,91.2%,46265,"""KarakoramHimalaya,Pakistan,Asia"""
53,"""Langutai Barfi""",7017,13.11%,718,"""khyberpakhtunkhwapakistan,Pakistan,Asia"""
54,"""Khan Tengri""",7010,99.47%,135728,"""CentralTienShanRange,Kazakhstan,Kyrgyzstan,Asia"""
55,"""Machhapuchare""",7000,97.3%,61124,"""Pokhara,Nepal,Asia"""
56,"""Ulugh Muztagh""",6973,90.47%,38395,"""Xinjiang/Xizang(Tibet),China,Asia"""
57,"""Aconcagua""",6962,100%,454959,"""Mendoza,Argentina,SouthAmerica"""
58,"""Ojos del Salado""",6893,99.28%,171401,"""Catamarca(Arg.)-Atacama(Chi.),Argentina/Chile,SouthAmerica"""
59,"""Ama Dablam""",6848,99.87%,168298,"""KhumbuHimal,Nepal,Asia"""
60,"""Pissis""",6795,93.1%,53758,"""LaRioja/Catamarca,Argentina,SouthAmerica"""
61,"""Pissis East""",6785,91.14%,16316,"""LaRioja/Catamarca,Argentina,SouthAmerica"""
62,"""Bonete Chico""",6759,93.31%,33556,"""LaRioja,Argentina,SouthAmerica"""
63,"""Cerro Tres Cruces Sur""",6748,79.66%,17982,"""Copiapó,NorteChico/RegiónIII,(Chi.),Catamarca,(Arg.),Argentina,Chile,SouthAmerica"""
64,"""Huascarán Sur""",6746,98.36%,157966,"""Ancash,Peru,SouthAmerica"""
65,"""Llullaillaco""",6741,85.5%,41313,"""Chile,SouthAmerica"""
66,"""Mercedario""",6710,94.27%,59099,"""SanJuan,Argentina,SouthAmerica"""
67,"""Kaluxung / Kalurong 6674m""",6674,97.28%,15661,"""Tibet(Xizang),China,Asia"""
68,"""Cazadero/Walter Penck""",6658,82.21%,18551,"""Catamarca,Argentina,SouthAmerica"""
69,"""Huascarán Norte""",6655,94.02%,20244,"""Ancash,Peru,SouthAmerica"""
70,"""Lungser Kangri""",6645,73.04%,7095,"""Kashmir,India,Asia"""
71,"""Kailash""",6638,96.38%,157889,"""Xizang(Tibet),China,Asia"""
72,"""Cerro Tres Cruces Central""",6629,76.65%,10511,"""Copiapó,NorteChico/RegiónIII,Chile,SouthAmerica"""
73,"""Pik 6624""",6624,79.04%,17242,"""Pamir-Alaj,Kyrgyzstan,--"""
74,"""Incahuasi""",6621,90.8%,34746,"""Catamarca,Argentina,SouthAmerica"""
75,"""Yerupaja""",6617,92.24%,66375,"""CordilleraHuayhuash,Peru,SouthAmerica"""
76,"""Chumser Kangri""",6614,72.71%,2234,"""Kashmir,India,Asia"""
77,"""Gora Kurumdy""",6614,76.46%,6734,"""Kyrgyzstan,Asia"""
78,"""Makrong Chhish""",6607,83.1%,11081,"""NorthernAreas,Pakistan,Asia"""
79,"""Gangotri - III""",6575,69.88%,2998,"""India,Asia"""
80,"""Tupungato""",6570,91.48%,58824,"""RegiónMetropolitana,Argentina/Chile,SouthAmerica"""
81,"""Buni Zom""",6551,82.29%,15239,"""North-WestFrontierProvience(NWFP)Hin,Pakistan,Asia"""
82,"""Sirengou I""",6550,97.47%,8865,"""Xinjiang,China,Asia"""
83,"""Sajama""",6542,90.26%,74632,"""CordilleraOccidental,Bolivia,SouthAmerica"""
84,"""Zangser Kangri""",6540,81.17%,16706,"""Tibet,China,Asia"""
